Speaker label,Gender,Word,Vowel Phoneme,Class number,Format 1 (Hz),Format 2 (Hz),Format 3 (Hz),Time marker (s)
eah001,F,hard,AA,1,741.8868814,1272.792831,2737.955788,6.348731
eah001,F,heed,IY,2,445.3859194,2661.233652,3016.494397,1.808212
eah001,F,hoard,AO,3,594.6195021,927.6654959,2976.82652,11.537036
jrk001,F,hard,AA,1,737.7731681,1108.477152,2846.775972,4.336257
jrk001,F,heed,IY,2,292.9787853,2634.366908,2962.381004,0.940228
jrk001,F,hoard,AO,3,596.3868048,898.9749884,2833.249748,9.211588
kjd001,F,hard,AA,1,785.9664498,1101.745126,2958.285074,4.730524
kjd001,F,heed,IY,2,301.1146942,2628.450647,2964.700201,1.052336
kjd001,F,hoard,AO,3,575.7098863,1094.428087,2923.566578,13.042983
klm001,F,hard,AA,1,723.6930313,1143.212257,2582.779631,3.936338
klm001,F,heed,IY,2,406.216748,2720.11894,2967.877729,1.206569
klm001,F,hoard,AO,3,580.6222635,951.6269078,3058.761328,7.431174
kxe001,F,hard,AA,1,806.5460227,1214.793565,2971.38627,4.001159
kxe001,F,heed,IY,2,352.3393254,2531.708302,3065.104773,2.563094
kxe001,F,hoard,AO,3,588.6681361,949.9010723,3052.897455,7.396772
aaj001,M,hard,AA,1,641.8139813,2203.291492,2759.512091,16.384345
aaj001,M,heed,IY,2,2040.853833,2631.808203,3000.998956,1.598415
aaj001,M,hoard,AO,3,554.9419646,864.6877324,2743.744064,7.265906
cts001,M,hard,AA,1,719.681597,1351.85921,2238.4151,2.3
cts001,M,heed,IY,2,295.2655543,2348.579903,2897.457334,0.599422
cts001,M,hoard,AO,3,486.1438939,859.9550904,2513.07428,5.048741
dgf001,M,hard,AA,1,839.3977696,2288.389464,3382.019471,3.896529
dgf001,M,heed,IY,2,249.421426,2272.710123,2946.178518,0.899418
dgf001,M,hoard,AO,3,706.1585741,2600.754468,3271.168521,7.193273
dwl001,M,hard,AA,1,886.8609398,1278.59339,2660.362765,6.510577
dwl001,M,heed,IY,2,1351.767923,2626.991014,3248.344773,1.58886
dwl001,M,hoard,AO,3,734.52674,2541.25891,3332.4374,13.93836
wrq001,M,hard,AA,1,649.861243,1156.010053,2780.947671,5.480798
wrq001,M,heed,IY,2,219.4604772,2634.236887,3619.343787,1.751577
wrq001,M,hoard,AO,3,502.1403504,885.5458584,3023.09537,10.881786
gtb001,F,hard,AA,1,597.7334353,1040.836682,2535.673184,4.950101
gtb001,F,heed,IY,2,368.8502041,2790.331722,3024.026478,0.957208
